建案名稱,總價,格局/地坪,建坪,位置,網站
知築No.3 歸寧,None,187起,平通路580巷77號,平通路580巷77號,https://tainan.housetube.tw/17628
玄鴻首賦,None,52起,安南路與成功路口,安南路與成功路口,https://tainan.housetube.tw/15821
悅綠墅2,None,50~67,大灣路、大灣一街口,大灣路、大灣一街口,https://tainan.housetube.tw/15814
翰元竹風會館,None,50~75,竹南街56巷68號,竹南街56巷68號,https://tainan.housetube.tw/15808
雙璽,None,22.5~24.6,位址:,台南市永康區永大路二段700號,https://tainan.housetube.tw/15807
寶鑽No.2,None,未提供,位址:,中山路義林路口,https://tainan.housetube.tw/15799
鼎茂經典No2,None,未提供,未提供,未提供,https://tainan.housetube.tw/15796
文化D.C,None,30~43,位址:,文化街三段368號,https://tainan.housetube.tw/15795
邰欣地堡15期,None,未提供,位址:,未提供,https://tainan.housetube.tw/15790
優遊館 No.15,None,51~73,長溪路三段405巷(長安公園旁),長溪路三段405巷(長安公園旁),https://tainan.housetube.tw/15775
城市樂章No.3,None,未提供,未提供,未提供,https://tainan.housetube.tw/17124
城市樂章No.2,None,未提供,未提供,未提供,https://tainan.housetube.tw/15986
耘非凡,None,未提供,台南市東區林森路一段350號,台南市東區林森路一段350號,https://tainan.housetube.tw/15729
上院來,None,60~108,崇善路/德東街,崇善路/德東街,https://tainan.housetube.tw/15723
北揚德郡五期,None,未提供,位址:,德南路/德善路,https://tainan.housetube.tw/15721
湖美大隱,None,未提供,西湖街176號,西湖街176號,https://tainan.housetube.tw/15717
北安微風,None,30~35,位址:,安南區北安路二段,https://tainan.housetube.tw/15706
東門靜巷,None,未提供,東成街182巷,東成街182巷,https://tainan.housetube.tw/15705
宗大霞觀2,None,未提供,光州二街130號,光州二街130號,https://tainan.housetube.tw/18154
星月灣,None,47~77,萬年路南寧高中前,萬年路南寧高中前,https://tainan.housetube.tw/15661
文元桂冠,None,未提供,北成路588號,北成路588號,https://tainan.housetube.tw/15631
創世紀,None,30~50,位址:,台南市安南區長和路一段501號,https://tainan.housetube.tw/15630
穎園,None,未提供,中華東路二段295巷35號,中華東路二段295巷35號,https://tainan.housetube.tw/15629
豐收,None,未提供,安南區仁安四街68號,安南區仁安四街68號,https://tainan.housetube.tw/15628
集品,None,未提供,北區文賢二街500巷13~19號,北區文賢二街500巷13~19號,https://tainan.housetube.tw/15627
涵氧,None,未提供,崇德十七街126巷15號,崇德十七街126巷15號,https://tainan.housetube.tw/15626
京囍,None,未提供,建平九街60巷31弄46號,建平九街60巷31弄46號,https://tainan.housetube.tw/15625
原生館No.6,None,162起,光州二街77號,光州二街77號,https://tainan.housetube.tw/15601
美慕里,None,20~41,位址:,台南市安南區慈安路,https://tainan.housetube.tw/15598
庭園新屯,None,70~74,麻豆區國中街112號,麻豆區國中街112號,https://tainan.housetube.tw/15591
晶典,None,65~77,安南區樂安一街43號,安南區樂安一街43號,https://tainan.housetube.tw/15590
璽硯,None,67~81,安南區怡安路一段61巷30號,安南區怡安路一段61巷30號,https://tainan.housetube.tw/15589
君品,None,未提供,北區育成路191巷31弄3號,北區育成路191巷31弄3號,https://tainan.housetube.tw/15588
植村墅No.6,None,未提供,南科ＬＭ特區＆兒北公園旁,南科ＬＭ特區＆兒北公園旁,https://tainan.housetube.tw/15580
富景首席,None,121起,安平區育平九街372巷23弄18號,安平區育平九街372巷23弄18號,https://tainan.housetube.tw/15547
億載陶喜,None,66.4~67.8,台南市安平區永華十二街27巷86號,台南市安平區永華十二街27巷86號,https://tainan.housetube.tw/15546
伊豆風景,None,167起,安平區光州七街78號,安平區光州七街78號,https://tainan.housetube.tw/15545
科技首府,None,55.7~64.8,善化區成功路167號（7-11旁）,善化區成功路167號（7-11旁）,https://tainan.housetube.tw/15530
達觀九,None,67.3起,西門路一段380巷49號,西門路一段380巷49號,https://tainan.housetube.tw/15529
夢想家,None,47~65,北安三街安中二街,北安三街安中二街,https://tainan.housetube.tw/15516
真善美,None,26~33,位址:,台南市東區崇善路,https://tainan.housetube.tw/15514
金色陽光,None,未提供,台南市東區裕平路,台南市東區裕平路,https://tainan.housetube.tw/15492
林語堂5,None,未提供,文賢二街500巷38-1號,文賢二街500巷38-1號,https://tainan.housetube.tw/15491
承典靜觀,None,未提供,西賢一街230巷18號,西賢一街230巷18號,https://tainan.housetube.tw/15482
子曰No.6,None,50起,位址:,海安路三段972號,https://tainan.housetube.tw/15481
六庭No.2,None,未提供,未提供,未提供,https://tainan.housetube.tw/8890
森藏,None,167~169,裕信三街288號,裕信三街288號,https://tainan.housetube.tw/15475
皇邑No.10,None,未提供,中華西街,中華西街,https://tainan.housetube.tw/15472
皇邑No.9,None,130.3~144.7,育德二路325巷9號& 11號,育德二路325巷9號& 11號,https://tainan.housetube.tw/15471
城石,None,105起,大興街563號,大興街563號,https://tainan.housetube.tw/15465
府都EM,None,位址:,社區,台南市北區西華街,https://tainan.housetube.tw/15454
綠光No.2,None,位址:,社區,永康街,https://tainan.housetube.tw/15396
達觀9,None,67.3起,西門路一段380巷49號,西門路一段380巷49號,https://tainan.housetube.tw/15393
富紳宅‧雲端水間NO.2,None,165起,健康路一段310巷1號,健康路一段310巷1號,https://tainan.housetube.tw/15392
和築,None,105起,國光八街87巷,國光八街87巷,https://tainan.housetube.tw/15382
大塊先生NO.5,None,113~133,文成三路257~259號,文成三路257~259號,https://tainan.housetube.tw/15379
威爾士公園,None,54~59,台南市仁德區仁中二街23號,台南市仁德區仁中二街23號,https://tainan.housetube.tw/15377
藏玉,None,未提供,未提供,未提供,https://tainan.housetube.tw/15376
鄉景莊園NO.5,None,76~120,南科的善化國中正旁邊,南科的善化國中正旁邊,https://tainan.housetube.tw/15375
羅浮casa,None,未提供,文賢街360巷,文賢街360巷,https://tainan.housetube.tw/15374
民權市,None,未提供,位址:,民權路四維路口,https://tainan.housetube.tw/15367
福滿門,None,未提供,未提供,未提供,https://tainan.housetube.tw/15357
華力開卷,None,125~137,文平路461巷21弄58號,文平路461巷21弄58號,https://tainan.housetube.tw/15355
逸墅豐華,None,37~62,位址:,鹽水區朝琴路,https://tainan.housetube.tw/15353
昌泰藏龍,None,56~65,歸仁區信義北路96巷,歸仁區信義北路96巷,https://tainan.housetube.tw/15347
藏金,None,24~32,位址:,安南區怡安路一段472號,https://tainan.housetube.tw/15333
京傳,None,43起,位址:,未提供,https://tainan.housetube.tw/15332
藏紅豪邸,None,未提供,未提供,未提供,https://tainan.housetube.tw/15331
藏紅珍邸,None,60.9~69.6,安南區安中路一段220巷,安南區安中路一段220巷,https://tainan.housetube.tw/15330
登峰NO.5,None,115起,光州四街99號,光州四街99號,https://tainan.housetube.tw/15324
勝景墅No.2,None,54起,歸仁南潭二街,歸仁南潭二街,https://tainan.housetube.tw/15261
新浪漫滿屋No.11,None,25~35,位址:,未提供,https://tainan.housetube.tw/15241
太子花博館No.2,None,80~185,未提供,未提供,https://tainan.housetube.tw/15240
好意園12,None,170起,健康二街398號,健康二街398號,https://tainan.housetube.tw/15239
晨光,None,122起,永華三街50號,永華三街50號,https://tainan.housetube.tw/15238
南科安居,None,55~60,未提供,未提供,https://tainan.housetube.tw/15226
百阜囍樂,None,51起,海佃路二段78號,海佃路二段78號,https://tainan.housetube.tw/15224
年年如意60期,None,24.5~35,位址:,國安街156巷,https://tainan.housetube.tw/15223
天鑽,None,未提供,育德二路809巷,育德二路809巷,https://tainan.housetube.tw/15221
穎漢傑作9,None,未提供,位址:,中華北路二段147號,https://tainan.housetube.tw/15220
皇虹,None,62~66,大灣路942巷162號,大灣路942巷162號,https://tainan.housetube.tw/15219
崇德廿一街,None,140起,東區崇德21街42-7號,東區崇德21街42-7號,https://tainan.housetube.tw/15215
崇德18街,None,27.5起,位址:,崇德18街7號,https://tainan.housetube.tw/16129
山豐海富6『一院定江山』,None,未提供,華宗路學甲警察分局旁,華宗路學甲警察分局旁,https://tainan.housetube.tw/15211
陽光靚巷,None,未提供,文化街三段,文化街三段,https://tainan.housetube.tw/19041
日光琉璃2,None,51.9~59.3,文賢街與文賢街360巷附近,文賢街與文賢街360巷附近,https://tainan.housetube.tw/15200
福匠三代居,None,未提供,功安一街與智安一街口,功安一街與智安一街口,https://tainan.housetube.tw/15199
日東昇常富,None,未提供,位址:,延平路575號,https://tainan.housetube.tw/15195
誠銳春天,None,25~32,位址:,台南市佳里區佳南路,https://tainan.housetube.tw/15193
八方白玉,None,134起,costco特區‧文賢路596巷,costco特區‧文賢路596巷,https://tainan.housetube.tw/15192
筑緣岡,None,75~76,立賢路二段99巷,立賢路二段99巷,https://tainan.housetube.tw/15191
囍喆,None,120起,東橋三路東橋二街口,東橋三路東橋二街口,https://tainan.housetube.tw/15190
黃金印象,None,未提供,台南市東區裕孝路47號,台南市東區裕孝路47號,https://tainan.housetube.tw/15189
麗寶園,None,79.5起,裕平路近裕義路,裕平路近裕義路,https://tainan.housetube.tw/15165
信美福吉,None,未提供,位址:,福吉路69號,https://tainan.housetube.tw/15164
仁德晶鑽,None,32~34,位址:,台南市仁德區中清路,https://tainan.housetube.tw/15148
御河畔,None,34起,位址:,建平十七街49號,https://tainan.housetube.tw/15122
東賢文華,None,未提供,永大一路160巷22號,永大一路160巷22號,https://tainan.housetube.tw/15121
中城一品,None,位址:,社區,台南市中西區衛民街117號,https://tainan.housetube.tw/15119
贏の家No.5,None,50~75,善化區小新營,善化區小新營,https://tainan.housetube.tw/15117
贏の家No.3,None,28~46,位址:,新市區和平街,https://tainan.housetube.tw/15116
宜群御品,None,67~80,台南市仁德區德崙路,台南市仁德區德崙路,https://tainan.housetube.tw/15111
勝田悅讀2,None,70起,北安路ㄧ段轉北成路順德公園旁,北安路ㄧ段轉北成路順德公園旁,https://tainan.housetube.tw/15107
寬薪園,None,未提供,功安三街6號,功安三街6號,https://tainan.housetube.tw/15097
3H文華苑,None,74.5~63.1,大仁七街,大仁七街,https://tainan.housetube.tw/15096
統一富貴家專,None,未提供,位址:,鹽行仁愛街。三村一街口,https://tainan.housetube.tw/15095
沐春,None,129起,安南區安中路一段557巷19弄78號,安南區安中路一段557巷19弄78號,https://tainan.housetube.tw/15090
公園綠光,None,130~180,永康區公園路7巷32號,永康區公園路7巷32號,https://tainan.housetube.tw/15086
曄俊 大灣賞1,None,61~67,永康區國光二街15號,永康區國光二街15號,https://tainan.housetube.tw/15073
寬域,None,112.5起,建平一街236號,建平一街236號,https://tainan.housetube.tw/15059
大傳NO.7,None,136.9起,裕農路726巷6號,裕農路726巷6號,https://tainan.housetube.tw/15058
龍歡喜2,None,未提供,位址:,未提供,https://tainan.housetube.tw/15057
御善 六分寮,None,72~75,善化區六分寮61-35號,善化區六分寮61-35號,https://tainan.housetube.tw/15048
茂生新天地NO.5,None,50~56,安定區戶政事務所旁巷子．425之3號,安定區戶政事務所旁巷子．425之3號,https://tainan.housetube.tw/15045
白色墅日3,None,74.3起,中華路619巷88弄66號,中華路619巷88弄66號,https://tainan.housetube.tw/15044
綠森活,None,未提供,未提供,未提供,https://tainan.housetube.tw/15027
鹿賀臻禮,None,未提供,未提供,未提供,https://tainan.housetube.tw/15026
安中新天地,None,25.5~66,位址:,安中路四段183號,https://tainan.housetube.tw/15025
生活家,None,未提供,位址:,德崙路,https://tainan.housetube.tw/15010
山豐海富3,None,未提供,未提供,未提供,https://tainan.housetube.tw/15004
人和白京,None,22~27,位址:,台南市東區仁和路47號,https://tainan.housetube.tw/15001
臺邦高峰會No.5,None,未提供,北成路402巷口,北成路402巷口,https://tainan.housetube.tw/15000
怡安帝寶,None,63~77,安南區怡安路怡果菜市場對面,安南區怡安路怡果菜市場對面,https://tainan.housetube.tw/14986
邰欣家園1,None,未提供,未提供,未提供,https://tainan.housetube.tw/14880
大觀No.7,None,115~121,東區裕信三街187號,東區裕信三街187號,https://tainan.housetube.tw/14958
富康鄉墅,None,46起,善化區胡厝里西衛社區,善化區胡厝里西衛社區,https://tainan.housetube.tw/14957
邰欣家園2,None,24~31,位址:,富強路一段15號,https://tainan.housetube.tw/208
邰欣家園3,None,未提供,未提供,未提供,https://tainan.housetube.tw/14881
邰欣地堡,None,30~34,位址:,東橋三路113號,https://tainan.housetube.tw/840
邰欣地堡 2,None,62~63,東橋三路125號旁,東橋三路125號旁,https://tainan.housetube.tw/10211
邰欣地堡 3,None,27~29,位址:,大灣路40巷,https://tainan.housetube.tw/10520
邰欣地堡5,None,未提供,永興路永勝街口,永興路永勝街口,https://tainan.housetube.tw/14882
富寓人生,None,74~75,安平區光州四街88號,安平區光州四街88號,https://tainan.housetube.tw/14923
聚盛和善,None,71起,和善街133、135號,和善街133、135號,https://tainan.housetube.tw/14916
邰欣地堡7,None,57~66,永興路永勝街口,永興路永勝街口,https://tainan.housetube.tw/12107
邰欣地堡8,None,未提供,南興路上,南興路上,https://tainan.housetube.tw/13164
邰欣地堡9,None,未提供,未提供,未提供,https://tainan.housetube.tw/14885
邰欣地堡10,None,未提供,大橋重劃區,大橋重劃區,https://tainan.housetube.tw/14887
邰欣地堡11,None,未提供,大橋重劃區,大橋重劃區,https://tainan.housetube.tw/14888
皇丞銀座,None,未提供,位址:,永大一路110號,https://tainan.housetube.tw/14861
百邑,None,25~27,位址:,台南市東區裕信路170號,https://tainan.housetube.tw/14841
領袖,None,157起,北區文賢三街217號,北區文賢三街217號,https://tainan.housetube.tw/14840
皇城,None,40起,位址:,大同街53號,https://tainan.housetube.tw/14837
御東城,None,120~186,台南市東區東成街116巷1號,台南市東區東成街116巷1號,https://tainan.housetube.tw/14822
安居樂業,None,60~68,未提供,未提供,https://tainan.housetube.tw/14814
吉緣城No.3,None,59~60,本原街一段195巷110弄13號,本原街一段195巷110弄13號,https://tainan.housetube.tw/14813
文化劍橋No.6,None,55~65,成功六街,成功六街,https://tainan.housetube.tw/14808
光立方,None,位址:,社區,安平區建平一街238巷27號,https://tainan.housetube.tw/14773
得意人生No.9,None,62~84,歸仁區大成路480號(紅瓦厝國小旁),歸仁區大成路480號(紅瓦厝國小旁),https://tainan.housetube.tw/14761
文化首學No.3,None,未提供,位址:,和平北街63號,https://tainan.housetube.tw/14760
向日葵No.3,None,72~110,大同街.永康街口,大同街.永康街口,https://tainan.housetube.tw/14758
仰森,None,109起,林森路3段240巷進,林森路3段240巷進,https://tainan.housetube.tw/14757
富市,None,未提供,位址:,歸仁區中正北路一段228號,https://tainan.housetube.tw/14750
歐香公園No.8,None,62~77,長和路二段12巷213弄,長和路二段12巷213弄,https://tainan.housetube.tw/14748
和顏悅舍No.6,None,51起,永大路3段78巷口,永大路3段78巷口,https://tainan.housetube.tw/14746
印象米蘭,None,未提供,台南市安南區安興街,台南市安南區安興街,https://tainan.housetube.tw/14722
春禹四季,None,未提供,民生路385巷13弄,民生路385巷13弄,https://tainan.housetube.tw/14721
海景大院,None,未提供,位址:,未提供,https://tainan.housetube.tw/14710
富貴當家,None,未提供,位址:,未提供,https://tainan.housetube.tw/16380
天荷,None,未提供,未提供,未提供,https://tainan.housetube.tw/16377
富貴世家No.3 住宅區,None,未提供,未提供,未提供,https://tainan.housetube.tw/16387
富貴世家No.1  住家區,None,未提供,未提供,未提供,https://tainan.housetube.tw/14701
尚河苑,None,61~80,民權路4段,民權路4段,https://tainan.housetube.tw/14657
摩登世紀,None,27~30,台南市中西區西和路11號,台南市中西區西和路11號,https://tainan.housetube.tw/14656
優遊館13,None,未提供,海佃路.安中路口,海佃路.安中路口,https://tainan.housetube.tw/14651
櫻谷日光,None,未提供,未提供,未提供,https://tainan.housetube.tw/14618
崇善三間堂,None,未提供,東區崇善七街8巷3號,東區崇善七街8巷3號,https://tainan.housetube.tw/14613
觀雲軒No.6,None,113~150,裕敬二街轉裕華一街,裕敬二街轉裕華一街,https://tainan.housetube.tw/14610
邰欣地堡12.13期,None,45~54,未提供,未提供,https://tainan.housetube.tw/14597
邰欣地堡16期,None,未提供,未提供,未提供,https://tainan.housetube.tw/16058
築夢家園,None,58~62,公學路四段54巷43弄20號旁,公學路四段54巷43弄20號旁,https://tainan.housetube.tw/14596
和顏悅舍No.5,None,52~60,未提供,未提供,https://tainan.housetube.tw/14565
英倫巴洛克,None,30.5~58,位址:,七甲中華路248巷,https://tainan.housetube.tw/14554
福川夏目,None,49.4~58.1,台南市麻豆區建南街,台南市麻豆區建南街,https://tainan.housetube.tw/14536
信美天下,None,136~137,建平五街131巷18弄40號,建平五街131巷18弄40號,https://tainan.housetube.tw/14534
大可居,None,未提供,和緯路三段180巷3號,和緯路三段180巷3號,https://tainan.housetube.tw/14533
優建築No.3,None,75起,智安三街50巷35號,智安三街50巷35號,https://tainan.housetube.tw/14532
巧遇北歐,None,25起,位址:,台南市仁德區德南路187巷2號,https://tainan.housetube.tw/14517
耕讀No.5,None,位址:,社區,未提供,https://tainan.housetube.tw/14516
巴黎casa,None,52~57,文賢街68巷,文賢街68巷,https://tainan.housetube.tw/14503
八達居No.7,None,23~35,位址:,中山東路357號,https://tainan.housetube.tw/14491
深耕No.3,None,65~250,鹽洲二街68號(三村國小旁),鹽洲二街68號(三村國小旁),https://tainan.housetube.tw/14490
雄崗比佛利,None,103起,永康區東橋二街71巷,永康區東橋二街71巷,https://tainan.housetube.tw/13064
富貴世家No.6,None,28~30.5,位址:,仁安路79號,https://tainan.housetube.tw/14484
八福見築,None,77.8~93.7,安吉路一段457巷63號,安吉路一段457巷63號,https://tainan.housetube.tw/14481
麗陞.富庭,None,65~70,頂安街68巷68號,頂安街68巷68號,https://tainan.housetube.tw/14480
領袖NO.11.12,None,未提供,新北六街,新北六街,https://tainan.housetube.tw/14478
騰揮A+家7期,None,未提供,位址:,未提供,https://tainan.housetube.tw/14474
舜第拾美,None,50.5~62,府安路三段311巷,府安路三段311巷,https://tainan.housetube.tw/14461
森渡,None,未提供,未提供,未提供,https://tainan.housetube.tw/14459
傳家堡No.2,None,未提供,位址:,健康路二段22號,https://tainan.housetube.tw/14458
嘉樓上品,None,55~60,新營區東興十街77巷,新營區東興十街77巷,https://tainan.housetube.tw/14457
慶平鑽,None,84.7~103,位址:,慶平路92號,https://tainan.housetube.tw/14456
沐光微旅寓見海,None,位址:,社區,台南市安平區育平路52號,https://tainan.housetube.tw/14455
公園伯爵No.10,None,56~93,佳里區新生路尾(台北小城),佳里區新生路尾(台北小城),https://tainan.housetube.tw/12700
瑜舍,None,55~70,台南市安平區慶平路386號,台南市安平區慶平路386號,https://tainan.housetube.tw/14438
彩蝶公園,None,87.7,永興路,永興路,https://tainan.housetube.tw/14437
永康天母,None,71起,南師大附中旁,南師大附中旁,https://tainan.housetube.tw/18396
國泰上品硯,None,60~128,中華東路二段226巷27弄5號,中華東路二段226巷27弄5號,https://tainan.housetube.tw/14436
鼎立新東,None,28起,位址:,東興路與東興三街路口,https://tainan.housetube.tw/14433
朗琴No.2,None,未提供,建平九街60巷33號,建平九街60巷33號  ,https://tainan.housetube.tw/12055
太子美學,None,位址:,社區,台南市北區文成二路155號,https://tainan.housetube.tw/14413
大灣學府,None,未提供,永康區民族路190巷1弄1號,永康區民族路190巷1弄1號,https://tainan.housetube.tw/14404
寬庭森活,None,61~71,大仁街,大仁街,https://tainan.housetube.tw/14374
摩登世紀No.2,None,30~34,位址:,民權路西河路口,https://tainan.housetube.tw/14368
敦煌日出印象,None,56~70,府安路5段56巷,府安路5段56巷,https://tainan.housetube.tw/14367
大傳NO.6,None,150起,裕華三街5號,裕華三街5號,https://tainan.housetube.tw/14364
好瀚TH,None,238起,台南市北區林森路三段191-3號,台南市北區林森路三段191-3號,https://tainan.housetube.tw/14360
夏林新境,None,52~85,台南市南區五妃街443巷25號,台南市南區五妃街443巷25號,https://tainan.housetube.tw/14359
北揚德郡,None,55~64,未提供,未提供,https://tainan.housetube.tw/14354
甜蜜原墅NO.13,None,43~60,歸仁區成功三街,歸仁區成功三街,https://tainan.housetube.tw/14350
時尚極品,None,未提供,育平路93號府平路口,育平路93號府平路口,https://tainan.housetube.tw/14346
傳承,None,未提供,台南市下營區新興段174地號,台南市下營區新興段174地號,https://tainan.housetube.tw/12766
御品,None,65~78,未提供,未提供,https://tainan.housetube.tw/14344
綠墅界,None,84~97,未提供,未提供,https://tainan.housetube.tw/14343
日光行舘1,None,未提供,新興街35巷23弄1號,新興街35巷23弄1號,https://tainan.housetube.tw/14338
和樂佳居No.3,None,30~35,位址:,仁德區太子南路25號,https://tainan.housetube.tw/12536
掬日,None,137起,建平八街372巷37號,建平八街372巷37號,https://tainan.housetube.tw/14306
白河帝寶,None,55~61,白河區康樂路1-91號,白河區康樂路1-91號,https://tainan.housetube.tw/14301
My Island,None,位址:,社區,育平七街123號,https://tainan.housetube.tw/14281
維諾亞,None,49~90,台南市仁德區仁中三街112號,台南市仁德區仁中三街112號,https://tainan.housetube.tw/14232
一品苑,None,47~54,台南市新市區華美街49巷13號,台南市新市區華美街49巷13號,https://tainan.housetube.tw/14226
人文私坊6​期,None,21~34,位址:,民族路與和平路路口,https://tainan.housetube.tw/14224
力漢戀家8,None,未提供,府安路五段,府安路五段,https://tainan.housetube.tw/14223
雙禧園11期,None,37~50,位址:,海佃路一段&郡安路五段口,https://tainan.housetube.tw/14198
黃金巴洛克 2,None,58~63,興農街.興農街136巷,興農街.興農街136巷,https://tainan.housetube.tw/14188
台江首席,None,137起,裕豐街61巷6號,裕豐街61巷6號,https://tainan.housetube.tw/14185
四季晨光,None,122起,台南市東區文化路,台南市東區文化路,https://tainan.housetube.tw/14183
雙橡園,None,60~75,台南市善化區陽光三路,台南市善化區陽光三路,https://tainan.housetube.tw/14181
雙橡園二期,None,55~105,善化區南科LM特區.陽光五路,善化區南科LM特區.陽光五路,https://tainan.housetube.tw/16979
再地淳,None,114~126,位址:,友愛街82-1號,https://tainan.housetube.tw/14171
年年如意NO.54,None,75~102,安西重劃區,安西重劃區,https://tainan.housetube.tw/14149
年年如意NO.53,None,75~84,安西重劃區,安西重劃區,https://tainan.housetube.tw/14150
印象巴洛克,None,未提供,善化區成功路上/善化啤酒廠正對面,善化區成功路上/善化啤酒廠正對面,https://tainan.housetube.tw/14136
年年如意56期,None,29~36,位址:,佳里區佳東路,https://tainan.housetube.tw/14125
上合興一品No.7,None,48.5~70,民權北路9號,民權北路9號,https://tainan.housetube.tw/14122
聯友福居 No.12,None,25~38,位址:,東區自由路二段55號旁,https://tainan.housetube.tw/14121
森立方,None,109起,善化區陽光三路、蓮潭路,善化區陽光三路、蓮潭路,https://tainan.housetube.tw/14120
貝森朵夫,None,未提供,台南市新市區永就15-50號,台南市新市區永就15-50號,https://tainan.housetube.tw/14117
植村墅No.5,None,27起,位址:,善化區陽光二路、蓮潭北三街,https://tainan.housetube.tw/14100
長圓藍田苑V,None,157起,頂美二街48巷28號,頂美二街48巷28號,https://tainan.housetube.tw/14094
山豐海富2,None,85起,台南市仁德區德南路,台南市仁德區德南路,https://tainan.housetube.tw/14076
六甲奇蹟,None,53~63,六甲中華路236號,六甲中華路236號,https://tainan.housetube.tw/14070
淺草,None,70~78,洲尾街132號,洲尾街132號,https://tainan.housetube.tw/14058
楓之舞,None,62起,東興路‧東興十街口,東興路‧東興十街口,https://tainan.housetube.tw/14042
豪享家,None,160起,安平區光州五街36號,安平區光州五街36號,https://tainan.housetube.tw/14025
公園帝寶,None,125~157,佳里區安北路、六順路口(中山公園旁),佳里區安北路、六順路口(中山公園旁),https://tainan.housetube.tw/14024
德洋居,None,63起,仁德區德洋二街75巷25號,仁德區德洋二街75巷25號,https://tainan.housetube.tw/14023
囍事連連3,None,56~62,安定區港口,安定區港口,https://tainan.housetube.tw/14022
新浪漫滿屋No.10,None,63~67,永康市鹽洲二街133巷,永康市鹽洲二街133巷,https://tainan.housetube.tw/14018
喆席,None,未提供,永康區文賢路308號,永康區文賢路308號,https://tainan.housetube.tw/14003
宏齊一品,None,64~105,大同街380巷,大同街380巷,https://tainan.housetube.tw/14002
上邑 NO.5,None,53~70,永大路三段VS.八德街,永大路三段VS.八德街,https://tainan.housetube.tw/13977
廣禾原砌No.2,None,114起,文成二街165號,文成二街165號,https://tainan.housetube.tw/13970
天空樹,None,26~38,位址:,安中路一段639巷,https://tainan.housetube.tw/13969
麗莊南園,None,85~124,台南市北區南園街101巷21弄12號,台南市北區南園街101巷21弄12號,https://tainan.housetube.tw/13963
心墅,None,未提供,文成三路245號,文成三路245號,https://tainan.housetube.tw/13959
力漢寬庭7,None,未提供,未提供,未提供,https://tainan.housetube.tw/13930
松鼎居,None,未提供,健康路底光州三街,健康路底光州三街,https://tainan.housetube.tw/13917
美麗人生,None,61~77,安南區安和路五段171巷,安南區安和路五段171巷,https://tainan.housetube.tw/13904
吉家金店,None,28~52,位址:,新市區復興路,https://tainan.housetube.tw/13903
大贏囍事連連2,None,47~52,新市區大營里248之1號,新市區大營里248之1號,https://tainan.housetube.tw/13902
石藝,None,未提供,育德三街69號文成路口,育德三街69號文成路口,https://tainan.housetube.tw/13886
子龍首善,None,54~67,公園路110巷,公園路110巷,https://tainan.housetube.tw/13866
騰園21,None,24~35,位址:,善化鎮光復路236號(戶政對面),https://tainan.housetube.tw/13859
達觀八期,None,77.3起,建平5街131巷18弄,建平5街131巷18弄,https://tainan.housetube.tw/13844
村莊和農,None,58~65,長和路二段,長和路二段,https://tainan.housetube.tw/13825
比利時,None,30~35,位址:,健康路二段新樂路口,https://tainan.housetube.tw/836
禾風館,None,62~82,怡安路一段262巷,怡安路一段262巷,https://tainan.housetube.tw/13822
香庭NO.2,None,170起,海安路三段338巷,海安路三段338巷,https://tainan.housetube.tw/13804
夏木漱石6,None,位址:,社區,新興街近西港市場,https://tainan.housetube.tw/13799
風和日舞,None,未提供,未提供,未提供,https://tainan.housetube.tw/13797
湖美霞觀,None,70~120,台南市中西區西賢二街,台南市中西區西賢二街,https://tainan.housetube.tw/15652
屋托邦No.3,None,46~53,公學路四段‧十二佃路100巷,公學路四段‧十二佃路100巷,https://tainan.housetube.tw/13784
高青苑,None,未提供,未提供,未提供,https://tainan.housetube.tw/13783
文化大和,None,未提供,文化路,文化路,https://tainan.housetube.tw/13782
太茂聚富,None,42~50,位址:,未提供,https://tainan.housetube.tw/17365
吾居樹,None,100~200,立賢路一段,立賢路一段,https://tainan.housetube.tw/13760
春池金碧,None,90起,安南區本原街二段515號,安南區本原街二段515號,https://tainan.housetube.tw/13758
宗駿樸樹,None,72起,東區裕誠街281號,東區裕誠街281號,https://tainan.housetube.tw/13757
大傳NO.5,None,161起,裕孝二街16號,裕孝二街16號,https://tainan.housetube.tw/13755
太子花博館,None,71~142,安南區長和路一段‧環館路,安南區長和路一段‧環館路,https://tainan.housetube.tw/13747
新都郡No.2,None,57~76,國民路,國民路,https://tainan.housetube.tw/13746
大全美領袖名墅,None,162~166,中西區民族路二段57巷12之5號,中西區民族路二段57巷12之5號,https://tainan.housetube.tw/13718
領袖名店,None,未提供,位址:,中西區成功路445號,https://tainan.housetube.tw/16655
幸福100,None,未提供,國八轉安定區港南村口,國八轉安定區港南村口,https://tainan.housetube.tw/13717
傳家寶,None,92起,佳里區新生路/佳里國中附近,佳里區新生路/佳里國中附近,https://tainan.housetube.tw/13716
薪成家5,None,52,麻豆區176號道路首府大學旁,麻豆區176號道路首府大學旁,https://tainan.housetube.tw/13707
大富翁,None,25~49,位址:,麻豆區麥當勞三民路。興民街路口,https://tainan.housetube.tw/13691
旺家,None,31起,位址:,榮譽街52號.大同國小旁,https://tainan.housetube.tw/13680
雅筑村墅,None,59~63,安昌街85巷149之8號,安昌街85巷149之8號,https://tainan.housetube.tw/13672
玉井休閒渡假別墅,None,80.9起,玉井區忠孝街,玉井區忠孝街,https://tainan.housetube.tw/13667
六御 / 子曰No.2,None,140起,永華六街152-2號(安平國小旁),永華六街152-2號(安平國小旁),https://tainan.housetube.tw/13112
